alpha,kl_weight,count_0,count_1,count_2,silhouette,dbi,chi
5,0.08,9884,14962,75154,0.428967,0.904309637,60485.62249
5,0.1,9886,14962,75152,0.4289391,0.904418937,60484.85541
5,0.15,9889,14962,75149,0.42889616,0.904571917,60483.90643
5,0.2,9893,14962,75145,0.42884785,0.904791642,60483.14539
8,0.08,10151,14968,74881,0.42473665,0.919223888,60363.60609
8,0.1,10152,14969,74879,0.42470136,0.919305638,60360.68927
8,0.15,10157,14969,74874,0.42461324,0.919625393,60356.48675
8,0.2,10161,14969,74870,0.42452863,0.91992393,60351.61071
10,0.08,10262,14972,74766,0.42225894,0.927356774,60225.53728
10,0.1,10268,14972,74760,0.4221234,0.927761638,60218.75263
10,0.15,10278,14973,74749,0.42193925,0.928388858,60210.91446
10,0.2,10280,14973,74747,0.42190018,0.928515896,60209.48616
12,0.08,10467,14978,74555,0.41852957,0.941520176,60050.23208
12,0.1,10472,14978,74550,0.41841432,0.941880184,60043.33846
12,0.15,10483,14978,74539,0.41818383,0.942683802,60031.27683
12,0.2,10486,14978,74536,0.4181275,0.942874737,60029.12419
15,0.08,11057,14981,73962,0.4079791,0.984866461,59497.96914
15,0.1,11068,14981,73951,0.40775332,0.985627057,59487.20678
15,0.15,11081,14981,73938,0.40748703,0.986590895,59472.53575
15,0.2,11088,14981,73931,0.4073611,0.987165325,59464.07545
